baseline	height	x	y	sigma_x	sigma_y	fwhm_x	fwhm_y	fwhm	error_baseline	error_height	error_x	error_y	error_sigma_x	error_sigma_y	error_fwhm_x	error_fwhm_y	error_fwhm	slice
341.037	75.933	626.040	1791.472	1.908	2.113	4.492	4.976	4.734	4.617	10.390	0.259	0.288	0.337	0.367	0.794	0.865	0.587	4
332.966	70.694	863.715	149.392	2.450	2.331	5.769	5.489	5.629	6.005	9.352	0.319	0.295	0.469	0.432	1.104	1.018	0.751	4
319.170	75.631	117.754	441.592	1.959	1.226	4.613	2.887	3.750	2.674	11.078	0.287	0.179	0.315	0.199	0.742	0.468	0.439	4
322.710	73.880	803.397	588.176	3.143	3.160	7.401	7.440	7.421	12.232	10.591	0.270	0.267	0.681	0.671	1.604	1.580	1.126	4
326.587	112.313	1106.357	610.466	4.178	3.706	9.839	8.728	9.283	19.642	17.029	0.292	0.202	0.831	0.667	1.956	1.570	1.254	4
329.334	65.202	1870.573	777.586	2.390	1.873	5.628	4.411	5.019	4.346	8.970	0.326	0.254	0.422	0.341	0.994	0.803	0.639	4
368.924	70.267	892.280	805.589	2.299	1.928	5.415	4.539	4.977	5.041	10.236	0.332	0.277	0.433	0.374	1.020	0.881	0.674	4
377.481	81.392	1248.310	886.690	1.580	2.179	3.720	5.130	4.425	4.020	12.001	0.230	0.323	0.274	0.382	0.646	0.899	0.554	4
332.001	85.083	531.866	1324.217	3.648	2.589	8.591	6.096	7.343	8.845	8.211	0.290	0.174	0.562	0.399	1.322	0.940	0.811	4
324.298	68.684	1269.391	535.806	2.381	2.369	5.606	5.578	5.592	5.582	8.399	0.280	0.279	0.417	0.418	0.983	0.984	0.696	4
300.563	97.188	674.054	713.687	3.508	3.890	8.260	9.159	8.710	17.407	15.049	0.223	0.253	0.706	0.751	1.664	1.768	1.214	4
348.211	78.558	981.652	758.004	1.369	1.310	3.225	3.086	3.155	2.910	15.113	0.263	0.252	0.282	0.270	0.664	0.636	0.460	4
352.108	71.436	1252.306	893.466	2.899	3.790	6.826	8.924	7.875	9.981	9.403	0.289	0.611	0.580	0.987	1.367	2.323	1.348	4
347.753	74.980	1639.845	1400.439	2.242	1.941	5.280	4.572	4.926	5.499	11.308	0.335	0.290	0.438	0.389	1.030	0.915	0.689	4
329.066	79.864	1158.099	163.578	1.665	1.881	3.920	4.430	4.175	3.585	11.008	0.229	0.259	0.272	0.304	0.640	0.716	0.480	4
337.792	83.128	1013.797	174.888	4.386	3.251	10.329	7.655	8.992	17.520	15.343	0.338	0.230	0.969	0.775	2.282	1.825	1.461	4
320.078	73.965	157.586	573.822	2.460	1.789	5.793	4.213	5.003	4.247	8.968	0.296	0.213	0.378	0.287	0.891	0.677	0.559	4
320.647	70.657	169.234	584.868	2.718	2.186	6.399	5.147	5.773	4.881	7.953	0.305	0.235	0.432	0.341	1.017	0.803	0.648	4
345.387	73.461	1555.943	639.878	2.300	1.946	5.415	4.582	4.999	4.189	8.685	0.271	0.226	0.354	0.303	0.834	0.712	0.549	4
345.967	57.368	898.694	1489.814	3.344	3.708	7.875	8.733	8.304	12.257	10.945	0.432	0.448	1.000	0.986	2.355	2.322	1.653	4
313.365	73.537	219.141	1696.480	3.903	3.210	9.192	7.559	8.376	14.132	12.149	0.344	0.242	0.892	0.721	2.100	1.698	1.350	4
327.206	116.379	279.160	439.051	2.684	2.293	6.321	5.400	5.861	4.057	7.615	0.234	0.147	0.306	0.194	0.719	0.456	0.426	4
322.049	64.960	140.089	768.282	2.217	1.840	5.221	4.333	4.777	4.423	10.047	0.341	0.282	0.429	0.365	1.011	0.861	0.664	4
353.403	58.011	527.429	1390.499	2.942	1.352	6.928	3.184	5.056	3.740	10.618	0.545	0.240	0.663	0.291	1.562	0.685	0.853	4
302.346	71.193	327.331	1922.756	2.509	3.594	5.908	8.464	7.186	7.005	7.891	0.230	0.357	0.424	0.594	0.999	1.398	0.859	4
336.750	110.137	1662.631	130.935	4.358	4.404	10.263	10.370	10.317	16.076	14.146	0.307	0.516	0.722	0.959	1.701	2.257	1.413	4
360.133	66.923	1115.630	187.401	1.978	1.505	4.658	3.543	4.101	3.410	11.232	0.332	0.252	0.381	0.294	0.897	0.692	0.566	4
324.236	82.443	396.132	423.025	3.184	3.495	7.498	8.230	7.864	9.419	8.931	0.286	0.291	0.578	0.560	1.360	1.320	0.947	4
316.601	78.337	143.991	562.109	1.406	1.507	3.310	3.548	3.429	2.568	11.613	0.208	0.223	0.228	0.244	0.536	0.575	0.393	4
335.253	67.854	248.893	1706.747	1.585	1.950	3.733	4.593	4.163	3.584	11.215	0.262	0.322	0.309	0.375	0.728	0.883	0.572	4
324.493	71.060	1688.168	244.244	1.722	1.329	4.054	3.130	3.592	2.733	11.576	0.280	0.216	0.309	0.239	0.727	0.564	0.460	4
325.783	72.343	563.349	394.958	3.308	2.872	7.789	6.764	7.277	10.839	10.022	0.324	0.279	0.676	0.629	1.593	1.480	1.087	4
313.967	70.246	381.081	503.667	1.969	1.809	4.636	4.261	4.449	3.515	9.206	0.258	0.237	0.315	0.293	0.743	0.689	0.507	4
344.172	61.521	550.764	1521.510	2.643	2.460	6.225	5.793	6.009	7.001	8.667	0.347	0.318	0.568	0.532	1.338	1.252	0.916	4
333.013	81.914	1963.999	933.750	2.686	3.006	6.326	7.079	6.702	6.287	7.391	0.217	0.273	0.364	0.448	0.858	1.056	0.680	4
330.420	63.463	1574.180	994.594	3.791	2.505	8.927	5.898	7.412	8.908	8.654	0.427	0.244	0.797	0.540	1.876	1.271	1.133	4
331.264	62.704	1126.051	1738.849	1.378	2.153	3.245	5.070	4.158	3.228	11.074	0.242	0.380	0.279	0.433	0.658	1.019	0.606	4
347.282	133.619	918.779	1798.981	2.494	2.081	5.872	4.900	5.386	3.959	9.321	0.189	0.144	0.243	0.182	0.572	0.429	0.357	4
315.663	69.940	51.188	1864.284	2.595	2.742	6.110	6.457	6.284	7.319	8.153	0.267	0.281	0.481	0.491	1.132	1.156	0.809	4
307.788	75.653	1464.553	72.990	4.105	3.306	9.667	7.786	8.727	14.797	12.860	0.422	0.279	0.987	0.771	2.324	1.815	1.474	4
327.883	68.204	386.838	287.101	2.643	2.011	6.224	4.736	5.480	4.791	8.443	0.324	0.240	0.441	0.341	1.039	0.804	0.657	4
320.547	67.605	538.081	318.895	2.453	2.545	5.775	5.994	5.885	5.818	7.609	0.260	0.267	0.421	0.423	0.991	0.997	0.703	4
322.495	69.252	1816.275	358.203	2.186	2.690	5.147	6.334	5.741	5.298	8.354	0.252	0.311	0.375	0.439	0.883	1.033	0.680	4
319.510	65.218	382.287	821.578	3.326	3.184	7.832	7.497	7.665	10.423	9.418	0.312	0.323	0.686	0.732	1.615	1.723	1.181	4
325.269	63.390	159.510	1148.204	2.969	2.778	6.990	6.542	6.766	7.561	7.891	0.335	0.285	0.614	0.525	1.447	1.236	0.951	4
337.517	61.645	151.346	1162.548	2.445	2.037	5.759	4.797	5.278	4.988	8.688	0.339	0.280	0.466	0.403	1.096	0.948	0.725	4
