n	ChainAxis	ChainDia	CellAxis	DiaP	CellDiaM	GFPfluor	GFPMean	GFPMax	GFPMid	allSepta	manSepta	manTrace	Thr	startX	startY	barX	barY	barW	barH	SeptaPos	ParentID	X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	Y1	Y2	Y3	Y4	Y5	Y6	Y7	Y8	Y9	Y10	Y11	Frame
130	4.6793	0.6610											10163.0078	1111.0000	1384.0000	1078	1000	94	33	45 	-130																							33
131	3.0163	0.6061											10163.0078	1012.0000	1436.0000	30	1050	61	33		-131																							33
132	4.8334	0.6348											10163.0078	1044.0000	1438.0000	121	1050	97	33	50.01 	-132																							33
133	10.2250	0.7387											10163.0078	1401.0000	1667.0000	248	1050	205	33	 17 45 70 102 144 186	-133																							33
134	5.0682	0.7896											10163.0078	1461.0000	1683.0000	483	1050	102	33	43 	-134																							33
135	7.5319	0.8457											10163.0078	1340.0000	1911.0000	615	1050	151	33		-135																							33
136	22.2052	0.7358											10667.9727	1358.0000	164.0000	30	1100	445	33	20 115 164 209 242 276 328 404 	-136																							37
137	7.4596	0.6428											10667.9727	1407.0000	355.0000	505	1100	150	33	 28 69 107	-137																							37
138	6.3341	0.7457											10667.9727	1865.0000	598.0000	685	1100	127	33	57 	-138																							37
139	4.6684	0.6604											10667.9727	1853.0000	627.0000	842	1100	94	33	42 	-139																							37
140	8.1923	0.8786											10667.9727	655.0000	642.0000	966	1100	165	33		-140																							37
141	4.2279	0.9051											10667.9727	1577.0000	723.0000	30	1150	85	33	 64	-141																							37
142	4.9430	0.8595											10667.9727	789.0000	822.0000	145	1150	99	33	27.01 	-142																							37
143	8.7777	0.8492											10667.9727	1023.0000	925.0000	274	1150	176	33	77 92 132 161 	-143																							37
144	24.8989	0.8079											10667.9727	720.0000	1065.0000	480	1150	499	33	132.01 190.01 258.01 324.01 	-144																							37
145	16.5089	0.8255											10667.9727	1326.0000	1123.0000	30	1200	331	33	64 177 252 304 	-145																							37
146	7.7693	0.8664											10667.9727	201.0000	1172.0000	391	1200	156	33	31 83 141 	-146																							37
147	6.2160	0.7361											10667.9727	1788.0000	1373.0000	577	1200	125	33	57.01 	-147																							37
148	5.7166	0.7742											10667.9727	1797.0000	1500.0000	732	1200	115	33	67.01 	-148																							37
149	6.0975	0.8924											10667.9727	865.0000	1652.0000	877	1200	123	33	58.01 	-149																							37
150	6.7193	0.8970											10667.9727	119.0000	1828.0000	1030	1200	135	33	68.01 	-150																							37
151	5.5669	0.7692											10267.2422	998.0000	68.0000	30	1250	112	33	28 101 	-151																							41
152	4.2996	0.7094											10267.2422	1018.0000	163.0000	172	1250	87	33		-152																							41
153	5.2073	0.6733											10267.2422	1002.0000	186.0000	289	1250	105	33	48 	-153																							41
154	6.3642	0.7957											10267.2422	1026.0000	254.0000	424	1250	128	33	61 	-154																							41
155	5.9994	0.8596											10267.2422	1059.0000	421.0000	582	1250	121	33	48.01 	-155																							41
156	6.4512	0.7469											10267.2422	1544.0000	477.0000	733	1250	130	33	 47 65	-156																							41
157	6.5378	0.6989											10267.2422	229.0000	524.0000	893	1250	131	33	62 	-157																							41
158	11.7843	0.6478											10267.2422	1581.0000	580.0000	30	1300	236	33	 47 84 115 140 173 221	-158																							41
159	4.7872	0.5768											10267.2422	1569.0000	607.0000	296	1300	96	33	 43	-159																							41
160	7.3014	0.6374											10267.2422	1548.0000	610.0000	422	1300	147	33	 31 71	-160																							41
161	4.3945	0.5497											10267.2422	273.0000	627.0000	599	1300	88	33	48.01 	-161																							41
162	7.7152	0.7273											10267.2422	302.0000	641.0000	717	1300	155	33	 87	-162																							41
163	4.8066	0.6966											10267.2422	313.0000	714.0000	902	1300	97	33	44 	-163																							41
164	12.0248	0.6084											10267.2422	1608.0000	749.0000	30	1350	241	33	 10 70 109 192 227	-164																							41
165	6.6333	0.5293											10267.2422	1580.0000	806.0000	301	1350	133	33	62 	-165																							41
166	6.4559	0.5532											10267.2422	1587.0000	859.0000	464	1350	130	33	68 101 	-166																							41
167	7.6678	0.5386											10267.2422	804.0000	899.0000	624	1350	154	33	23 84 138 	-167																							41
168	9.2723	0.5866											10267.2422	859.0000	901.0000	808	1350	186	33	25 63 111 	-168																							41
169	6.6048	0.6153											10267.2422	878.0000	906.0000	1024	1350	133	33	 58	-169																							41
170	6.5333	0.8600											10267.2422	1106.0000	907.0000	30	1400	131	33	66 	-170																							41
171	4.4593	0.8221											10267.2422	1627.0000	995.0000	191	1400	90	33	45 	-171																							41
172	3.9254	0.8479											10267.2422	1269.0000	1391.0000	311	1400	79	33		-172																							41
173	7.6255	0.6201											10267.2422	594.0000	1603.0000	420	1400	153	33	 82 141	-173																							41
174	6.0103	0.6421											10267.2422	562.0000	1661.0000	603	1400	121	33	 12 62 105	-174																							41
175	5.2045	0.5721											10267.2422	581.0000	1668.0000	754	1400	105	33	 77	-175																							41
176	5.3635	0.8831											10267.2422	143.0000	1887.0000	889	1400	108	33	 48	-176																							41
177	3.0332	0.6529											10203.7852	1556.0000	0.0000	1027	1400	61	33	31.01 	-177																							45
178	7.9047	0.8125											10203.7852	1522.0000	267.0000	30	1450	159	33	31 65 122 	-178																							45
179	4.6043	0.7044											10203.7852	679.0000	433.0000	219	1450	93	33	42 	-179																							45
180	3.9106	0.8543											10203.7852	1483.0000	674.0000	342	1450	79	33	22 	-180																							45
181	4.3221	0.8784											10203.7852	1414.0000	1171.0000	451	1450	87	33	43.01 	-181																							45
182	5.4331	0.6772											10203.7852	1915.0000	1199.0000	568	1450	109	33		-182																							45
183	5.2164	0.5361											10203.7852	1930.0000	1246.0000	707	1450	105	33		-183																							45
184	3.3210	0.7386											10203.7852	1977.0000	1330.0000	842	1450	67	33	21 	-184																							45
185	5.0571	0.8052											10203.7852	658.0000	1470.0000	939	1450	102	33	 11 64	-185																							45
