baseline,height,x,y,sigma_x,sigma_y,fwhm_x,fwhm_y,fwhm,error_baseline,error_height,error_x,error_y,error_sigma_x,error_sigma_y,error_fwhm_x,error_fwhm_y,error_fwhm,slice
106.376,57.692,928.328,190.151,2.338,2.739,5.505,6.451,5.978,3.959,4.018,0.134,0.150,0.265,0.273,0.625,0.643,0.448,8
112.775,55.401,843.424,475.511,1.284,1.858,3.024,4.376,3.700,1.621,4.509,0.104,0.151,0.127,0.179,0.298,0.422,0.258,8
91.967,60.933,785.041,477.442,3.111,2.835,7.325,6.677,7.001,6.044,5.203,0.134,0.108,0.364,0.317,0.857,0.746,0.568,8
96.632,55.967,313.012,428.757,2.413,2.899,5.683,6.828,6.255,4.269,3.980,0.121,0.153,0.268,0.306,0.630,0.721,0.479,8
105.361,55.772,438.935,558.273,3.240,2.107,7.629,4.962,6.296,4.199,4.645,0.228,0.139,0.398,0.264,0.936,0.622,0.562,8
116.490,54.246,278.317,575.117,2.225,1.811,5.241,4.265,4.753,3.098,4.073,0.159,0.127,0.246,0.212,0.580,0.499,0.382,8
90.025,61.190,685.913,193.248,3.387,2.816,7.975,6.630,7.303,6.100,5.358,0.139,0.122,0.364,0.345,0.856,0.813,0.590,8
110.428,225.432,890.534,192.162,1.501,1.376,3.535,3.240,3.388,1.284,4.784,0.035,0.029,0.043,0.032,0.100,0.075,0.063,8
115.762,49.874,305.580,486.585,1.949,1.697,4.590,3.997,4.293,1.382,2.408,0.093,0.080,0.128,0.115,0.302,0.270,0.202,8
104.142,56.681,636.688,489.602,2.951,1.970,6.950,4.639,5.794,3.240,3.242,0.139,0.085,0.255,0.182,0.601,0.429,0.369,8
105.849,60.357,419.317,565.326,3.351,2.048,7.891,4.822,6.357,3.204,3.028,0.166,0.072,0.289,0.163,0.680,0.383,0.390,8
115.831,51.527,948.839,619.360,2.040,1.607,4.805,3.783,4.294,1.577,2.808,0.109,0.085,0.148,0.123,0.349,0.289,0.227,8
113.061,49.866,526.945,892.030,2.871,1.617,6.760,3.808,5.284,2.338,3.184,0.177,0.092,0.269,0.156,0.634,0.368,0.367,8
110.209,46.195,604.073,433.208,1.716,1.688,4.041,3.975,4.008,1.827,3.661,0.135,0.133,0.181,0.178,0.426,0.420,0.299,8
104.816,48.250,449.218,519.601,2.788,2.136,6.565,5.030,5.798,4.421,4.345,0.210,0.146,0.390,0.305,0.919,0.718,0.583,8
110.624,115.940,818.515,567.658,1.619,1.776,3.812,4.183,3.998,1.551,4.192,0.058,0.065,0.070,0.081,0.165,0.190,0.126,8
107.403,54.645,794.289,367.082,2.569,2.356,6.050,5.548,5.799,3.416,3.308,0.135,0.109,0.263,0.216,0.620,0.508,0.401,8
112.092,53.077,793.505,405.545,1.263,3.445,2.974,8.112,5.543,1.816,3.743,0.081,0.272,0.109,0.409,0.258,0.964,0.499,8
104.315,49.140,398.379,423.703,1.976,2.164,4.653,5.095,4.874,2.822,3.577,0.133,0.148,0.219,0.239,0.516,0.563,0.382,8
109.312,48.933,161.448,526.620,1.916,2.007,4.512,4.725,4.619,2.556,3.739,0.140,0.148,0.213,0.222,0.502,0.523,0.362,8
118.775,49.689,451.987,542.445,2.656,1.497,6.255,3.526,4.890,2.397,4.164,0.238,0.118,0.326,0.172,0.768,0.406,0.434,8
109.186,209.318,890.593,192.230,1.876,1.395,4.418,3.286,3.852,2.138,6.981,0.077,0.046,0.092,0.053,0.218,0.124,0.125,8
107.866,58.718,818.931,485.290,2.793,1.772,6.578,4.174,5.376,2.518,3.377,0.221,0.096,0.303,0.152,0.713,0.358,0.399,8
109.878,51.069,339.110,83.580,1.920,1.355,4.520,3.190,3.855,1.484,3.931,0.149,0.103,0.183,0.126,0.430,0.297,0.261,8
104.024,51.095,619.562,101.907,2.377,2.764,5.598,6.508,6.053,3.052,2.695,0.078,0.092,0.194,0.212,0.458,0.499,0.339,8
113.611,47.827,617.357,537.224,1.326,1.313,3.122,3.093,3.107,1.071,3.996,0.111,0.110,0.125,0.124,0.295,0.292,0.207,8
113.269,46.146,311.472,545.569,2.630,1.720,6.193,4.050,5.121,2.294,3.101,0.170,0.104,0.256,0.173,0.602,0.408,0.364,8
109.430,128.769,589.324,546.378,1.479,1.484,3.483,3.494,3.488,1.247,4.285,0.049,0.049,0.056,0.056,0.133,0.133,0.094,8
105.598,44.529,622.820,559.231,2.680,2.250,6.311,5.299,5.805,3.498,3.436,0.170,0.134,0.321,0.274,0.756,0.645,0.497,8
118.748,43.857,135.192,568.725,1.775,1.714,4.181,4.036,4.108,1.365,2.569,0.103,0.099,0.140,0.137,0.331,0.322,0.231,8
107.216,88.542,340.294,132.699,2.266,2.211,5.337,5.206,5.272,2.679,4.635,0.132,0.151,0.180,0.200,0.423,0.472,0.317,8
92.979,68.853,937.922,147.509,3.472,3.315,8.175,7.807,7.991,8.623,7.503,0.172,0.178,0.468,0.484,1.101,1.140,0.792,8
111.872,73.741,909.631,192.518,2.015,3.215,4.746,7.570,6.158,3.569,3.829,0.092,0.301,0.164,0.383,0.386,0.901,0.490,8
115.960,47.076,389.626,393.296,1.391,1.348,3.276,3.174,3.225,1.536,5.316,0.157,0.152,0.180,0.175,0.424,0.412,0.296,8
106.183,43.644,830.754,466.850,3.140,2.188,7.393,5.152,6.273,4.875,4.314,0.220,0.130,0.469,0.338,1.105,0.795,0.681,8
101.129,98.045,496.933,481.416,4.028,1.659,9.486,3.906,6.696,3.286,7.280,0.925,0.083,0.689,0.126,1.621,0.296,0.824,8
107.280,45.039,805.475,480.933,2.004,3.228,4.719,7.600,6.160,2.626,2.580,0.080,0.145,0.180,0.276,0.424,0.651,0.388,8
105.844,41.637,506.981,486.848,1.597,2.326,3.760,5.478,4.619,2.203,3.759,0.138,0.219,0.202,0.304,0.475,0.716,0.430,8
112.610,42.001,267.099,554.442,1.688,2.554,3.974,6.015,4.995,2.180,2.933,0.108,0.172,0.182,0.259,0.428,0.610,0.373,8
108.367,43.504,168.186,583.155,3.024,1.613,7.121,3.799,5.460,3.525,4.817,0.352,0.159,0.528,0.267,1.243,0.629,0.697,8
116.072,39.215,790.361,476.973,1.900,1.617,4.475,3.808,4.141,1.717,3.332,0.160,0.135,0.213,0.186,0.503,0.438,0.333,8
103.562,72.271,569.394,519.508,3.478,2.005,8.190,4.721,6.455,2.321,2.456,0.234,0.058,0.279,0.107,0.657,0.252,0.352,8
103.448,42.385,361.677,604.571,2.819,2.205,6.638,5.193,5.916,4.237,3.933,0.190,0.141,0.388,0.325,0.914,0.766,0.596,8
123.716,67.234,139.242,608.468,2.620,1.130,6.170,2.660,4.415,2.113,6.014,0.365,0.101,0.410,0.120,0.966,0.282,0.503,8
106.223,41.334,70.101,635.912,1.938,1.815,4.563,4.273,4.418,1.749,2.654,0.121,0.113,0.179,0.171,0.423,0.404,0.292,8
89.581,53.060,943.095,138.558,3.506,2.765,8.257,6.511,7.384,6.221,5.381,0.171,0.107,0.462,0.354,1.088,0.833,0.685,8
117.921,40.726,401.585,400.466,1.783,2.229,4.198,5.249,4.723,2.056,2.880,0.119,0.152,0.190,0.227,0.448,0.535,0.349,8
116.271,40.347,4.913,422.717,1.885,1.414,4.439,3.330,3.884,1.253,2.951,0.137,0.103,0.170,0.132,0.400,0.312,0.254,8
93.168,63.582,888.933,575.958,3.062,4.229,7.210,9.959,8.584,9.965,8.794,0.112,0.316,0.454,0.767,1.069,1.805,1.049,8
108.188,48.540,101.129,825.920,2.900,3.339,6.829,7.863,7.346,5.488,4.814,0.192,0.330,0.423,0.591,0.997,1.392,0.856,8
98.808,49.270,467.872,879.607,3.050,3.151,7.182,7.419,7.301,6.099,5.302,0.200,0.240,0.466,0.527,1.098,1.242,0.829,8
104.312,38.591,131.015,143.024,3.049,2.244,7.179,5.283,6.231,3.407,3.384,0.234,0.149,0.418,0.305,0.983,0.719,0.609,8
97.725,35.999,862.191,182.125,1.424,2.157,3.354,5.079,4.217,1.203,2.488,0.096,0.148,0.131,0.188,0.309,0.444,0.270,8
115.220,37.076,695.263,201.086,1.659,1.518,3.907,3.574,3.740,1.194,2.913,0.130,0.119,0.162,0.150,0.382,0.354,0.261,8
106.738,143.228,795.029,265.729,1.565,1.707,3.685,4.019,3.852,1.007,3.118,0.034,0.037,0.042,0.045,0.098,0.106,0.072,8
99.568,37.829,842.230,352.025,1.569,1.193,3.695,2.808,3.251,0.879,3.077,0.128,0.097,0.145,0.111,0.341,0.262,0.215,8
73.455,80.182,753.906,449.728,4.563,4.330,10.745,10.198,10.471,21.704,20.630,0.119,0.094,0.928,0.853,2.185,2.008,1.484,8
117.256,38.656,103.128,461.066,1.544,1.382,3.636,3.255,3.445,1.370,4.094,0.163,0.146,0.193,0.175,0.455,0.411,0.307,8
118.266,37.239,336.125,462.104,2.039,1.465,4.801,3.450,4.126,1.449,2.987,0.162,0.116,0.208,0.157,0.489,0.371,0.307,8
109.852,41.792,443.119,504.492,2.317,2.620,5.457,6.170,5.813,3.609,3.581,0.156,0.214,0.300,0.395,0.706,0.930,0.584,8
117.813,50.255,438.831,558.063,2.104,1.595,4.955,3.756,4.356,2.027,4.520,0.212,0.139,0.277,0.177,0.651,0.416,0.386,8
99.784,43.926,98.303,602.216,1.083,1.166,2.551,2.745,2.648,1.274,6.356,0.157,0.169,0.169,0.182,0.398,0.428,0.292,8
112.880,42.950,102.008,825.548,2.802,3.128,6.598,7.365,6.982,6.298,5.524,0.225,0.307,0.523,0.642,1.232,1.512,0.975,8
97.061,36.403,489.139,261.824,1.952,1.198,4.596,2.821,3.709,0.734,2.124,0.114,0.069,0.133,0.084,0.312,0.197,0.185,8
104.046,39.020,797.834,378.164,2.913,3.141,6.860,7.396,7.128,7.311,6.321,0.186,0.192,0.609,0.612,1.435,1.440,1.017,8
115.183,34.397,317.537,429.149,2.101,2.058,4.948,4.847,4.897,2.325,2.747,0.154,0.149,0.262,0.256,0.618,0.604,0.432,8
99.537,39.507,590.819,482.453,2.881,2.780,6.785,6.547,6.666,4.366,3.872,0.167,0.189,0.384,0.438,0.904,1.031,0.686,8
114.237,106.874,521.457,489.140,1.743,1.530,4.104,3.604,3.854,1.607,4.749,0.077,0.068,0.092,0.082,0.218,0.192,0.145,8
116.287,37.387,419.281,502.230,1.915,1.464,4.509,3.446,3.978,1.651,3.641,0.185,0.141,0.234,0.186,0.552,0.439,0.352,8
112.981,54.291,452.901,542.374,3.231,1.822,7.609,4.290,5.950,2.305,3.122,0.440,0.100,0.460,0.155,1.083,0.364,0.571,8
98.936,39.214,762.543,645.343,1.846,1.056,4.346,2.487,3.416,0.781,2.752,0.129,0.074,0.146,0.085,0.343,0.199,0.199,8
100.365,37.837,644.645,764.291,1.113,2.041,2.622,4.807,3.714,0.972,2.997,0.087,0.161,0.103,0.187,0.244,0.440,0.251,8
117.902,35.791,109.863,142.883,1.320,1.637,3.107,3.855,3.481,1.546,4.602,0.169,0.210,0.203,0.247,0.478,0.583,0.377,8
101.177,41.444,259.558,330.852,1.111,1.118,2.617,2.634,2.625,0.892,4.505,0.121,0.122,0.130,0.131,0.306,0.308,0.217,8
106.055,47.043,423.068,462.781,3.016,3.231,7.101,7.609,7.355,8.321,7.222,0.140,0.167,0.535,0.593,1.259,1.397,0.940,8
119.052,40.667,451.550,484.298,2.771,1.374,6.524,3.235,4.880,1.675,3.359,0.287,0.109,0.367,0.148,0.864,0.348,0.466,8
111.806,38.749,447.574,520.591,3.960,1.746,9.325,4.110,6.718,3.090,3.645,0.857,0.146,0.936,0.256,2.205,0.604,1.143,8
121.788,39.457,316.564,530.584,1.191,1.336,2.805,3.147,2.976,1.600,6.530,0.197,0.221,0.219,0.245,0.516,0.578,0.387,8
100.071,35.747,555.761,583.733,1.707,1.630,4.019,3.838,3.929,1.396,2.982,0.142,0.135,0.185,0.178,0.435,0.419,0.302,8
110.223,107.280,112.480,610.077,1.472,1.477,3.466,3.479,3.473,1.190,4.169,0.056,0.058,0.064,0.067,0.151,0.158,0.109,8
101.768,35.986,485.359,742.806,1.499,1.467,3.530,3.454,3.492,0.880,2.542,0.106,0.103,0.127,0.124,0.298,0.293,0.209,8
100.577,35.166,29.400,827.858,1.985,1.235,4.673,2.909,3.791,1.050,2.921,0.165,0.101,0.196,0.124,0.462,0.292,0.273,8
108.026,70.305,617.027,187.042,2.838,1.584,6.683,3.730,5.207,1.647,3.229,0.307,0.074,0.303,0.095,0.714,0.225,0.374,8
98.701,35.841,497.318,258.442,1.941,1.279,4.570,3.012,3.791,0.903,2.416,0.130,0.085,0.156,0.106,0.366,0.249,0.221,8
101.308,35.014,898.254,260.015,1.665,1.304,3.920,3.070,3.495,0.863,2.570,0.122,0.096,0.143,0.114,0.337,0.270,0.216,8
101.448,53.289,625.185,387.808,4.072,2.460,9.589,5.793,7.691,4.740,4.202,0.390,0.111,0.592,0.278,1.393,0.655,0.770,8
100.016,40.243,620.631,410.575,3.526,2.321,8.302,5.466,6.884,2.935,3.037,0.229,0.139,0.409,0.275,0.963,0.647,0.580,8
100.399,38.042,914.149,418.977,1.247,1.113,2.938,2.620,2.779,0.921,4.243,0.139,0.124,0.152,0.135,0.357,0.318,0.239,8
102.230,47.262,230.756,420.568,0.916,1.104,2.158,2.600,2.379,0.782,4.625,0.090,0.108,0.095,0.114,0.223,0.269,0.175,8
100.014,39.315,93.463,429.066,1.361,1.126,3.205,2.650,2.928,1.101,4.662,0.161,0.133,0.178,0.147,0.418,0.347,0.272,8
96.109,44.389,315.524,448.267,2.760,3.395,6.500,7.994,7.247,7.979,6.918,0.140,0.185,0.532,0.617,1.252,1.453,0.959,8
117.615,70.507,612.475,452.739,1.729,1.787,4.073,4.208,4.140,1.445,3.690,0.090,0.095,0.111,0.120,0.261,0.283,0.192,8
111.484,34.284,473.932,457.124,1.862,2.317,4.384,5.457,4.920,2.535,3.804,0.195,0.251,0.295,0.365,0.694,0.860,0.553,8
109.879,35.326,15.261,462.892,2.425,1.998,5.709,4.705,5.207,2.004,2.475,0.158,0.126,0.253,0.213,0.595,0.502,0.389,8
94.060,44.062,257.644,465.470,3.725,2.581,8.771,6.077,7.424,5.017,4.375,0.165,0.094,0.456,0.328,1.074,0.773,0.662,8
115.156,36.041,847.106,481.900,1.422,1.077,3.349,2.536,2.942,1.322,5.599,0.221,0.167,0.243,0.185,0.573,0.435,0.360,8
